Id,Name,Overall,Potential,Role,Position,Age,Nationality,CountryCode,Club,Value,Wage,Pace,Shot,Pass,Dribble,Defend,Physical
466,Eder,80,80,Attacker,ST,30,Italy,Italy,Inter,14.5M,80K,85,80,73,83,25,63
467,Kiko Casilla,80,80,Goalkeeper,GK,30,Spain,Spain,Real Madrid CF,9.5M,120K,75,83,80,77,41,82
468,Nacho Monreal,80,80,Defender,LB,31,Spain,Spain,Arsenal,9.5M,110K,73,53,72,74,80,72
469,S. Bender,80,81,Defender,CB,28,Germany,Germany,Bayer 04 Leverkusen,13.5M,59K,70,51,61,59,82,80
470,M. Díaz,80,80,Midfielder,CM,30,Chile,Chile,U.N.A.M.,13.5M,31K,61,66,80,77,75,74
471,A. Fernández,80,80,Midfielder,CM,31,Argentina,Argentina,Atlético Madrid,12.5M,62K,69,70,77,79,68,75
472,M. Berg,80,80,Attacker,ST,30,Sweden,Sweden,,0,0,75,79,63,74,29,71
473,I. Piatti,80,80,Attacker,LW,32,Argentina,Argentina,Montreal Impact,11.5M,14K,77,81,72,85,52,74
474,V. Birsa,80,80,Midfielder,CAM,30,Slovenia,Slovenia,Chievo Verona,14M,25K,75,72,80,82,49,72
475,Pedro León,80,80,Midfielder,RM,30,Spain,Spain,SD Eibar,14M,29K,67,76,83,82,40,62
476,K. Boateng,80,80,Attacker,ST,30,Ghana,Ghana,Eintracht Frankfurt,14.5M,41K,73,77,77,80,67,78
477,Marcano,80,80,Defender,CB,30,Spain,Spain,FC Porto,11M,18K,68,45,59,58,81,78
478,H. Moreno,80,80,Defender,CB,29,Mexico,Mexico,Roma,11.5M,71K,66,49,65,62,81,75
479,S. Romero,80,80,Goalkeeper,GK,30,Argentina,Argentina,Manchester United,9.5M,97K,78,76,81,82,45,78
480,A. Candreva,80,80,Midfielder,RM,30,Italy,Italy,Inter,14M,74K,78,80,76,82,56,71
481,D. Criscito,80,80,Defender,LB,30,Italy,Italy,Zenit St. Petersburg,10.5M,67K,77,61,75,72,78,79
482,D. Wass,80,80,Midfielder,CM,28,Denmark,Denmark,RC Celta de Vigo,14.5M,33K,75,73,80,79,66,71
483,Coke,80,80,Defender,RB,30,Spain,Spain,FC Schalke 04,10.5M,44K,75,63,70,74,79,72
484,A. Guardado,80,80,Midfielder,CM,30,Mexico,Mexico,Real Betis Balompié,13.5M,32K,76,64,80,82,67,68
485,J. dos Santos,80,81,Midfielder,CM,27,Mexico,Mexico,LA Galaxy,16.5M,13K,66,68,82,81,59,67
486,E. Lamela,80,83,Midfielder,RM,25,Argentina,Argentina,Tottenham Hotspur,18.5M,96K,76,77,79,82,45,67
487,R. Bertrand,80,80,Defender,LB,27,England,England,Southampton,12M,86K,79,53,71,77,79,75
488,Renato Augusto,80,80,Midfielder,CM,29,Brazil,Brazil,,0,0,67,73,80,82,66,70
489,Jardel,80,80,Defender,CB,31,Brazil,Brazil,SL Benfica,10M,16K,60,42,52,51,81,82
490,V. Denisov,80,80,Defender,LB,30,Uzbekistan,Uzbekistan,Lokomotiv Moscow,10.5M,50K,83,51,67,71,79,79
491,D. Basta,80,80,Defender,RB,32,Serbia,Serbia,Lazio,8M,54K,76,67,71,76,80,76
492,G. Cabral,80,80,Defender,CB,31,Argentina,Argentina,RC Celta de Vigo,10M,29K,42,31,56,55,81,78
493,G. Paletta,80,80,Defender,CB,31,Italy,Italy,Milan,10M,96K,51,33,42,53,83,82
494,T. Walcott,80,80,Midfielder,RM,28,England,England,Arsenal,15M,125K,91,75,72,80,38,66
495,L. Fabiański,80,80,Goalkeeper,GK,32,Poland,Poland,Swansea City,8.5M,60K,77,84,70,84,48,78
496,B. Foster,80,80,Goalkeeper,GK,34,England,England,West Bromwich Albion,6M,60K,79,79,73,84,49,77
497,V. Ibišević,80,80,Attacker,ST,32,Bosnia Herzegovina,Bosnia Herzegovina,Hertha BSC Berlin,12M,41K,53,80,68,72,31,76
498,K. El Ahmadi,80,80,Midfielder,CM,32,Morocco,Morocco,Feyenoord,11M,23K,65,62,74,76,72,78
