Id,Name,Overall,Potential,Role,Position,Age,Nationality,CountryCode,Club,Value,Wage,Pace,Shot,Pass,Dribble,Defend,Physical
9959,B. Inman,65,67,Midfielder,LM,25,Australia,Australia,Rochdale,650K,3K,78,59,59,67,44,53
9960,J. Kiesewetter,65,70,Midfielder,RM,24,United States,United States,Fortuna Düsseldorf,725K,7K,80,60,58,67,28,57
9961,C. Lenz,65,72,Defender,LB,22,Germany,Germany,Holstein Kiel,650K,7K,70,39,55,60,63,64
9962,S. Sawadogo,65,68,Attacker,RW,24,Burkina Faso,Burkina Faso,La Berrichonne de Châteauroux,675K,2K,89,60,46,73,20,33
9963,E. Zverotić,65,65,Defender,CB,30,Montenegro,Montenegro,FC Sion,400K,5K,70,55,60,63,64,76
9964,A. Figuera,65,66,Midfielder,CM,27,Venezuela,Venezuela,, 0, 0,67,38,61,61,68,67
9965,J. Kusukami,65,65,Midfielder,LM,29,Japan,Japan,Western Sydney Wanderers,525K,3K,82,53,56,68,35,48
9966,Tomás Nuninho,65,65,Midfielder,CDM,33,Brazil,Brazil,Associação Chapecoense de Futebol,220K,5K,53,49,59,60,60,76
9967,Carlos Henriques,65,70,Goalkeeper,GK,23,Portugal,Portugal,Portimonense SC,525K,2K,64,66,64,66,22,63
9968,N. Dumitru,65,65,Attacker,LW,25,Italy,Italy,AD Alcorcón,600K,4K,83,62,55,63,29,63
9969,P. Pentke,65,65,Goalkeeper,GK,32,Germany,Germany, SSV Jahn Regensburg,300K,3K,67,61,64,69,37,57
9970,B. Bellot,65,66,Goalkeeper,GK,26,Germany,Germany,Brøndby IF,425K,4K,66,60,71,70,43,59
9971,S. Gasanov,65,74,Midfielder,CDM,23,Russia,Russia,Tromsø IL,725K,1K,64,36,57,52,66,64
9972,C. Andriamahitsinoro,65,65,Midfielder,RM,27,Madagascar,Madagascar,Ohod Club,575K,6K,87,55,57,65,26,57
9973,F. Nouble,65,68,Attacker,ST,25,England,England,Newport County,700K,4K,78,63,52,63,25,73
9974,C. Wernitznig,65,65,Midfielder,LM,27,Austria,Austria,Wolfsberger AC,575K,4K,78,63,58,68,39,66
9975,M. Al Bishi,65,65,Defender,CB,30,Saudi Arabia,Saudi Arabia,Al Faisaly,400K,7K,49,30,32,33,65,76
9976,D. Björnquist,65,65,Defender,RB,28,Sweden,Sweden,AFC Eskilstuna,425K,2K,86,35,48,59,59,69
9977,F. Kurto,65,67,Goalkeeper,GK,26,Poland,Poland,Roda JC Kerkrade,450K,3K,68,60,55,67,60,64
9978,C. Reilly,65,73,Midfielder,CM,23,Republic of Ireland,Republic of Ireland,Bury,775K,3K,62,60,63,62,62,78
9979,T. Wendel,65,65,Midfielder,CDM,28,Germany,Germany,Sportfreunde Lotte,450K,1K,52,47,52,53,61,80
9980,I. Chebake,65,66,Defender,RB,27,Morocco,Morocco,Evkur Yeni Malatyaspor,500K,4K,71,39,51,60,64,67
9981,A. Esposito,65,65,Defender,CB,31,Italy,Italy,Cesena,375K,1K,39,24,31,40,64,80
9982,F. Lohkemper,65,72,Attacker,ST,22,Germany,Germany,1. FC Magdeburg,775K,1K,82,59,52,66,27,62
9983,S. Clémence,65,65,Attacker,ST,29,France,France,Tours FC,550K,3K,70,61,58,63,22,66
9984,C. Fagan,65,65,Attacker,ST,28,Republic of Ireland,Republic of Ireland,St. Patrick's Athletic,550K,1K,70,63,53,63,24,70
9985,L. Burliga,65,65,Defender,RB,29,Poland,Poland,Jagiellonia Białystok,400K,3K,72,55,56,58,63,79
9986,S. Luna,65,65,Defender,RB,29,Argentina,Argentina,Belgrano de Córdoba,400K,4K,76,64,62,64,58,69
9987,G. Pezzella,65,78,Defender,LB,19,Italy,Italy,Udinese,900K,4K,61,34,51,66,64,61
9988,L. Bailly,65,65,Goalkeeper,GK,31,Belgium,Belgium,Royal Excel Mouscron,325K,3K,63,63,67,64,50,64
9989,B. Adjei-Boateng,65,74,Midfielder,CM,23,Ghana,Ghana,Colorado Rapids,825K,2K,74,66,55,64,61,77
9990,N. Poulsen,65,71,Midfielder,CM,23,Denmark,Denmark,Sarpsborg 08 FF,725K,4K,59,43,66,63,66,67
9991,K. Londoño,65,73,Midfielder,RM,23,Colombia,Colombia,Jaguares Fútbol Club,800K,1K,67,55,62,63,57,55
9992,C. Kammlott,65,65,Attacker,ST,27,Germany,Germany,Rot-Weiß Erfurt,575K,1K,80,66,50,69,23,55
9993,D. Mendoza,65,72,Attacker,ST,24,Argentina,Argentina,Club Atlético Huracán,775K,4K,66,64,54,62,32,62
9994,R. Hayasaka,65,65,Midfielder,RM,31,Japan,Japan,Hokkaido Consadole Sapporo,475K,2K,61,59,64,68,30,64
9995,J. Husband,65,70,Defender,LB,23,England,England,Norwich City,600K,8K,69,42,52,64,63,63
9996,N. Tkalčić,65,65,Midfielder,RM,27,Croatia,Croatia,IFK Norrköping,575K,2K,86,52,60,65,55,72
9997,P. Salomon,65,65,Midfielder,CM,29,Austria,Austria,SCR Altach,525K,5K,67,57,61,63,59,74
9998,M. Schulze Niehues,65,65,Goalkeeper,GK,28,Germany,Germany,SC Preußen Münster,375K,1K,65,65,62,65,40,65
9999,M. Friedrich,65,75,Defender,CB,21,Germany,Germany,FC Augsburg,775K,5K,61,32,53,44,65,66
10000,A. Al Enezi,65,66,Goalkeeper,GK,26,Saudi Arabia,Saudi Arabia,Al Nassr,425K,8K,66,60,62,67,46,68
10001,P. Hatzidiakos,65,74,Defender,CB,20,Greece,Greece,AZ Alkmaar,725K,2K,60,38,46,54,64,66
10002,Peter Abradanel,65,65,Goalkeeper,GK,29,Brazil,Brazil,Associação Atlética Ponte Preta,375K,4K,57,70,62,55,17,75
10003,J. Makengo,65,81,Midfielder,CM,19,France,France,OGC Nice,1.1M,5K,64,62,66,65,62,61
10004,Z. Gordon,65,69,Defender,RB,24,Scotland,Scotland,Jagiellonia Białystok,575K,3K,79,33,47,61,63,75
10005,A. Dyer,65,66,Midfielder,CM,27,Montserrat,Montserrat,IF Elfsborg,600K,2K,68,59,60,62,57,71
10006,C. Gustafsson,65,65,Midfielder,CM,30,Sweden,Sweden,IK Sirius,500K,1K,68,59,62,62,51,78
10007,T. Acar,65,65,Goalkeeper,GK,31,Turkey,Turkey,Medicana Sivasspor,325K,3K,60,62,67,78,35,51
10008,B. Schenkeveld,65,68,Defender,RB,25,Netherlands,Netherlands,Melbourne City,550K,3K,68,39,58,63,66,69
10009,N. Körber,65,77,Goalkeeper,GK,20,Germany,Germany,SC Preußen Münster,775K,4K,65,63,63,67,35,63
10010,E. Lancini,65,70,Defender,CB,23,Italy,Italy,Brescia,625K,1K,67,16,27,44,65,72
10011,M. Devlin,65,74,Defender,CB,23,Scotland,Scotland,Hamilton Academical FC,725K,2K,42,28,37,40,63,78
10012,P. Pawlett,65,66,Midfielder,CAM,26,Scotland,Scotland,Milton Keynes Dons,625K,4K,85,57,60,67,26,67
10013,Alvaro Rey,65,65,Midfielder,LM,27,Spain,Spain,Arka Gdynia,575K,3K,70,53,61,69,47,62
10014,P. Cissé,65,71,Defender,CB,21,Senegal,Senegal,Olympiakos CFP,650K,1K,58,30,44,35,66,72
10015,Josan,65,65,Midfielder,RM,27,Spain,Spain,Albacete Balompié,575K,3K,82,58,56,70,32,46
10016,P. Dahlberg,65,78,Goalkeeper,GK,18,Sweden,Sweden,IFK Göteborg,775K,1K,64,62,65,67,28,65
10017,M. Kennedy,65,72,Midfielder,LM,22,Scotland,Scotland,Portsmouth,750K,7K,78,52,59,69,48,66
10018,N. Fitzgerald,65,67,Attacker,RW,25,Australia,Australia,Melbourne City,650K,4K,86,64,59,66,39,62
10019,Yeray,65,65,Midfielder,CM,29,Spain,Spain,C.D. Leonesa S.A.D.,525K,3K,59,59,62,57,56,70
10020,L. Görtler,65,71,Attacker,ST,23,Germany,Germany,FC Utrecht,750K,4K,67,61,58,68,22,61
10021,S. Dawson,65,65,Midfielder,CM,31,Republic of Ireland,Republic of Ireland,Bury,475K,4K,60,46,60,61,58,81
10022,E. Alfonso,65,66,Goalkeeper,GK,29,Italy,Italy,Cittadella,425K,1K,63,66,53,65,50,64
10023,K. Larsen,65,67,Midfielder,LM,25,Norway,Norway,Lyngby BK,650K,4K,73,61,55,70,36,56
10024,Jo Young Cheol,65,65,Midfielder,LM,28,Korea Republic,Korea Republic,Sangju Sangmu FC,550K,3K,66,61,61,65,60,59
10025,D. Mariani,65,67,Midfielder,CM,26,Switzerland,Switzerland,FC Lugano,650K,3K,69,55,64,65,42,58
10026,Jin Seong Wook,65,72,Attacker,ST,23,Korea Republic,Korea Republic,Jeju United FC,775K,2K,74,59,50,64,21,72
10027,R. Marquez,65,68,Defender,CB,25,United States,United States,Philadelphia Union,575K,2K,76,23,44,49,63,70
10028,S. Akasaki,65,68,Attacker,ST,25,Japan,Japan,Gamba Osaka,700K,4K,64,63,59,65,30,64
10029,Soriano,65,75,Goalkeeper,GK,19,Spain,Spain,Sevilla Atlético,650K,1K,69,63,59,69,34,58
10030,A. Khalaf,65,68,Defender,CB,25,Iraq,Iraq,Ettifaq FC,575K,4K,62,30,41,42,62,78
10031,A. García,65,69,Defender,RB,25,Mexico,Mexico,U.N.A.M.,575K,5K,74,41,53,59,63,66
10032,D. Calvert-Lewin,65,79,Attacker,ST,20,England,England,Everton,1.2M,20K,80,64,47,67,30,62
10033,S. Alakouch,65,82,Defender,RB,18,France,France,Nîmes Olympique,1M,1K,74,29,55,64,58,58
10034,O. Pehrsson,65,65,Defender,CB,29,Sweden,Sweden,IK Sirius,425K,1K,54,34,41,41,63,70
10035,J. Leudo,65,71,Midfielder,CDM,23,Colombia,Colombia,Atlético Huila,625K,1K,47,42,52,56,64,78
10036,J. Brison,65,65,Defender,LB,34,France,France,Chamois Niortais FC,150K,2K,62,50,65,60,65,62
10037,G. Marinelli,65,68,Goalkeeper,GK,28,Argentina,Argentina,Colon de Santa Fe,475K,3K,65,62,66,67,35,65
10038,P. Wiegers,65,66,Goalkeeper,GK,27,Germany,Germany,SG Dynamo Dresden,425K,3K,64,65,60,69,45,61
10039,I. Escobar,65,74,Defender,LB,21,Argentina,Argentina,Talleres de Cordoba,725K,3K,84,31,46,55,62,53
10040,J. Mårtensson,65,65,Midfielder,CM,28,Sweden,Sweden,Örebro SK,525K,2K,62,47,62,62,60,71
10041,K. Ntlhe,65,70,Defender,LB,23,South Africa,South Africa,Rochdale,600K,2K,77,34,51,57,63,67
10042,L. Grozurek,65,67,Midfielder,LM,25,Austria,Austria,FC Admira Wacker Mödling,650K,3K,75,62,57,64,31,72
10043,W. Mosquera,65,65,Goalkeeper,GK,32,Colombia,Colombia,Jaguares Fútbol Club,300K,1K,65,61,65,71,47,63
10044,T. Endoh,65,70,Midfielder,RM,23,Japan,Japan,Toronto FC,725K,2K,66,54,64,67,42,47
10045,R. McArdle,65,65,Defender,CB,30,Northern Ireland,Northern Ireland,Scunthorpe United,400K,4K,54,22,44,40,63,74
10046,Jang Seong Jae,65,76,Midfielder,CAM,21,Korea Republic,Korea Republic,Ulsan Hyundai Horang-i,925K,2K,64,61,65,64,36,73
10047,V. Ilyin,65,72,Attacker,ST,23,Russia,Russia,FC Ural,775K,9K,66,63,45,63,33,69
10048,L. Gil,65,70,Midfielder,CM,23,United States,United States,Colorado Rapids,700K,3K,65,56,65,69,45,56
10049,K. Appiah,65,66,Attacker,ST,26,Ghana,Ghana,AFC Wimbledon,650K,3K,85,60,50,62,33,68
10050,A. Filtsov,65,67,Goalkeeper,GK,27,Russia,Russia,Rubin Kazan,450K,9K,64,58,65,67,45,65
10051,B. Kluft,65,65,Midfielder,LM,27,Germany,Germany,Chemnitzer FC,575K,1K,70,57,61,70,33,55
10052,Ary Papel,65,71,Midfielder,LM,23,Angola,Angola,Sporting CP,750K,4K,76,62,57,69,34,67
10053,J. Clarke,65,72,Midfielder,RM,22,England,England,Brentford,750K,10K,81,55,56,70,57,62
10054,D. Valoyes,65,80,Midfielder,RM,20,Colombia,Colombia,La Equidad,1.2M,1K,79,69,56,65,41,63
10055,R. Preißinger,65,74,Midfielder,CDM,20,Germany,Germany,VfR Aalen,725K,1K,64,39,57,56,58,76
10056,Lee Kyu Ro,65,65,Defender,RB,28,Korea Republic,Korea Republic,FC Seoul,425K,3K,70,30,59,65,64,73
10057,A. Uludağ,65,66,Defender,LB,26,Turkey,Turkey,Gençlerbirliği SK,525K,5K,73,60,60,65,62,69
10058,D. Bronn,65,72,Defender,CB,22,Tunisia,Tunisia,KAA Gent,650K,5K,63,27,53,51,67,63
10059,E. Sarraj,65,65,Midfielder,RM,27,Saudi Arabia,Saudi Arabia,Al Faisaly,575K,10K,69,69,56,66,20,65
10060,N. Sonko Sundberg,65,74,Defender,CB,21,Sweden,Sweden,GIF Sundsvall,725K,2K,70,44,46,50,62,73
10061,S. Mattila,65,66,Midfielder,CDM,27,Finland,Finland,SønderjyskE,500K,4K,58,60,64,59,62,70
10062,F. Paghera,65,68,Midfielder,CM,25,Italy,Italy,Avellino,675K,2K,73,49,63,64,55,66
10063,T. Bertels,65,65,Defender,LB,30,Germany,Germany,SC Paderborn 07,400K,1K,69,56,58,57,60,76
10064,Dani Sotres,65,71,Goalkeeper,GK,24,Spain,Spain,RC Celta de Vigo,550K,4K,72,62,67,73,59,51
10065,S. Emmanuello,65,73,Midfielder,CM,23,Italy,Italy,Perugia,775K,7K,62,53,59,65,46,64
10066,T. Knoflach,65,71,Goalkeeper,GK,23,Austria,Austria,SK Rapid Wien,550K,4K,66,60,61,71,47,65
10067,R. Allen,65,66,Defender,RB,27,United States,United States,New York City Football Club,500K,2K,64,36,60,65,64,72
10068,R. Barrios,65,71,Defender,RB,24,Argentina,Argentina,Defensa y Justicia,625K,3K,69,34,54,60,63,65
10069,T. Nguen,65,74,Midfielder,LM,23,Norway,Norway,Strømsgodset IF,825K,1K,90,58,52,73,44,56
10070,G. Diaz,65,75,Defender,CB,21,Colombia,Colombia,Independiente Medellín,775K,1K,57,25,37,38,63,71
10071,F. Del Sole,65,84,Attacker,RW,19,Italy,Italy,Pescara,1.2M,1K,69,61,59,71,31,36
10072,J. Nietfeld,65,72,Attacker,ST,23,Germany,Germany, SSV Jahn Regensburg,775K,4K,62,66,47,63,18,54
10073,O. Aydoğan,65,76,Midfielder,CAM,20,Germany,Germany,Karlsruher SC,925K,10K,67,64,60,71,24,49
10074,Assis,65,65,Goalkeeper,GK,27,Brazil,Brazil,Boavista FC,375K,2K,66,61,66,68,44,63
10075,Jesús Alfaro,65,66,Attacker,RW,26,Spain,Spain,FC Barcelona B,625K,3K,83,55,51,69,20,36
10076,Y. Igawa,65,65,Defender,CB,34,Japan,Japan,Kawasaki Frontale,160K,3K,49,42,54,45,63,78
10077,S. Tekerci,65,71,Midfielder,LM,23,Turkey,Turkey,FSV Zwickau,750K,1K,73,53,62,72,51,57
10078,C. Dunkley,65,68,Defender,CB,25,England,England,Wigan Athletic,575K,4K,57,34,41,46,64,73
10079,C. Vargas,65,67,Goalkeeper,GK,27,Colombia,Colombia,Atletico Nacional Medellin,450K,1K,66,64,55,63,43,64
10080,C. Wingert,65,65,Defender,RB,35,United States,United States,Real Salt Lake,120K,2K,62,47,57,57,64,70
10081,J. Hinestroza,65,75,Midfielder,RM,21,Colombia,Colombia,Tigres FC,875K,1K,91,60,51,68,25,53
10082,F. Børsting,65,73,Midfielder,LM,22,Denmark,Denmark,Aalborg BK,800K,4K,77,59,57,67,33,64
10083,J. Cullen,65,77,Midfielder,CM,21,Republic of Ireland,Republic of Ireland,Bolton Wanderers,950K,17K,71,47,62,68,54,66
10084,M. Schröter,65,73,Defender,RB,21,Germany,Germany,FSV Zwickau,675K,1K,81,55,62,61,59,63
10085,G. Omae,65,65,Attacker,RW,27,Japan,Japan,Omiya Ardija,575K,2K,78,66,59,67,32,52
10086,J. Valencia,65,65,Midfielder,CM,35,Colombia,Colombia,Deportivo Pasto,230K,1K,47,47,65,58,63,72
10087,B. Johnsen,65,68,Attacker,ST,25,Norway,Norway,ADO Den Haag,700K,4K,81,61,49,63,22,68
10088,F. Selemani,65,73,Midfielder,RM,23,France,France,FC Lorient,800K,2K,83,61,57,71,52,56
10089,T. Hayashi,65,65,Goalkeeper,GK,34,Japan,Japan,Sanfrecce Hiroshima,220K,3K,63,65,62,66,28,66
10090,I. Petryak,65,72,Midfielder,LM,23,Ukraine,Ukraine,Shakhtar Donetsk,750K,1K,78,54,59,65,25,44
10091,G. Gope-Fenepej,65,65,Midfielder,RM,28,New Caledonia,New Caledonia,Amiens SC Football,550K,6K,71,61,57,67,27,70
10092,D. Serna,65,71,Midfielder,RM,23,United States,United States,Colorado Rapids,750K,2K,78,64,58,64,34,46
10093,C. Tabó,65,73,Midfielder,LM,23,Uruguay,Uruguay,Club Atlas,800K,5K,78,56,59,70,25,57
10094,K. Ford,65,77,Defender,CB,21,United States,United States,Colorado Rapids,850K,2K,70,27,35,43,63,78
10095,G. Gunning,65,68,Defender,CB,26,Republic of Ireland,Republic of Ireland,Port Vale,550K,5K,69,47,53,57,62,75
10096,K. Morisaki,65,65,Midfielder,CDM,36,Japan,Japan,Sanfrecce Hiroshima,70K,3K,38,42,60,58,61,67
10097,F. Ortíz,65,70,Attacker,ST,24,Mexico,Mexico,Monarcas Morelia,725K,3K,65,64,45,58,26,70
10098,J. Steer,65,71,Goalkeeper,GK,24,England,England,Aston Villa,550K,6K,66,63,61,69,50,62
10099,M. Schmerböck,65,70,Midfielder,LM,23,Austria,Austria,SK Sturm Graz,725K,5K,76,59,61,67,32,61
10100,J. Hamilton,65,73,Attacker,ST,21,Canada,Canada,Toronto FC,825K,2K,80,61,45,59,26,69
10101,C. Woodrow,65,74,Attacker,ST,22,England,England,Bristol City,850K,11K,74,62,50,62,26,64
10102,D. Georgievski,65,65,Defender,LB,29,FYR Macedonia,FYR Macedonia,Newcastle Jets,400K,2K,73,56,59,62,62,75
10103,Augusto,65,65,Defender,LB,29,Portugal,Portugal,Śląsk Wrocław,400K,3K,67,42,58,63,65,71
10104,B. Garnica,65,76,Midfielder,RM,21,Mexico,Mexico,Club Atlas,925K,5K,78,63,58,69,33,48
10105,Park Dong Jin,65,73,Defender,CB,22,Korea Republic,Korea Republic,GwangJu FC,675K,1K,65,33,44,49,63,70
10106,P. Tomasik,65,65,Defender,LB,29,Poland,Poland,Jagiellonia Białystok,400K,3K,55,44,65,61,65,67
10107,Lúcio Corteijo,65,65,Defender,CB,25,Brazil,Brazil,Vitória ,475K,4K,47,32,46,29,68,65
10108,M. Omoh,65,66,Midfielder,RM,25,Nigeria,Nigeria,Örebro SK,650K,2K,90,53,53,72,26,67
10109,T. Archibald-Henville,65,66,Defender,CB,28,England,England,Exeter City,500K,4K,65,33,42,45,62,75
10110,S. Okoli,65,72,Attacker,ST,24,United States,United States,New York City Football Club,775K,3K,76,61,40,62,23,71
10111,A. Keita,65,65,Goalkeeper,GK,30,Sweden,Sweden,Östersunds FK,350K,1K,74,58,75,69,22,55
10112,G. Kobel,65,81,Goalkeeper,GK,19,Switzerland,Switzerland,TSG 1899 Hoffenheim,950K,3K,68,64,55,66,26,63
10113,M. Fitzgerald,65,65,Defender,CB,28,Japan,Japan,Kawasaki Frontale,450K,3K,62,41,48,52,64,76
10114,F. Darwish,65,65,Defender,RB,25,Saudi Arabia,Saudi Arabia,Al Hilal,475K,9K,85,57,59,68,59,71
10115,Ham Seok Min,65,72,Goalkeeper,GK,23,Korea Republic,Korea Republic,Suwon Samsung Bluewings,550K,2K,65,64,68,65,43,65
10116,S. Colombatto,65,79,Midfielder,CM,20,Argentina,Argentina,Perugia,1.2M,10K,66,48,68,67,47,52
10117,S. Sané,65,69,Attacker,ST,24,Germany,Germany,SG Sonnenhof Großaspach,725K,1K,73,62,38,64,29,67
10118,J. Tverskov,65,73,Defender,CB,24,Denmark,Denmark,Odense Boldklub,675K,3K,56,43,52,54,64,67
10119,M. Solís,65,65,Goalkeeper,GK,34,Colombia,Colombia,Independiente Santa Fe,220K,1K,61,64,72,62,34,66
10120,R. Sweeney,65,79,Defender,CB,20,Republic of Ireland,Republic of Ireland,Bristol Rovers,1.1M,11K,54,34,42,43,64,77
10121,G. Amiot,65,73,Defender,CB,22,France,France,Bourg en Bresse Péronnas 01,675K,2K,50,28,48,40,66,66
10122,M. Troiano,65,65,Midfielder,CM,32,Italy,Italy,Virtus Entella,400K,1K,62,51,62,54,60,80
10123,G. Marchegiani,65,79,Goalkeeper,GK,21,Italy,Italy,Ferrara (SPAL),975K,2K,71,63,57,64,31,62
10124,F. Escobar,65,71,Defender,CB,22,Panama,Panama,New York Red Bulls,625K,2K,77,37,38,39,65,76
10125,E. Palmer-Brown,65,82,Defender,CB,20,United States,United States,Sporting Kansas City,1.1M,2K,72,30,49,49,63,65
10126,M. Madri,65,65,Attacker,ST,27,France,France,RC Lens,575K,3K,75,62,62,69,21,57
10127,J. McCarthy,65,71,Goalkeeper,GK,24,United States,United States,Philadelphia Union,550K,2K,66,64,58,68,34,63
10128,T. Dekker,65,75,Defender,RB,19,Netherlands,Netherlands,VVV-Venlo,725K,2K,73,29,59,60,65,60
10129,Park Won Jae,65,65,Defender,LB,33,Korea Republic,Korea Republic,Jeonbuk Hyundai Motors,210K,3K,78,39,58,51,62,73
10130,E. Boldewijn,65,71,Midfielder,RM,24,Netherlands,Netherlands,Crawley Town,750K,3K,84,59,54,68,23,55
10131,F. Dagerstål,65,75,Midfielder,CDM,20,Sweden,Sweden,IFK Norrköping,775K,1K,58,43,59,58,59,75
10132,B. Straetman,65,77,Midfielder,LM,19,Belgium,Belgium,Sporting Lokeren,950K,3K,72,60,59,67,26,52
10133,C. Shields,65,67,Midfielder,CDM,26,Republic of Ireland,Republic of Ireland,Dundalk,550K,1K,52,54,58,57,62,77
10134,Gálvez,65,72,Defender,CB,24,Spain,Spain,Albacete Balompié,650K,2K,37,43,57,47,63,79
10135,Ewerton,65,68,Midfielder,CDM,24,Brazil,Brazil,Portimonense SC,575K,2K,59,49,58,62,61,65
10136,S. Leuko,65,72,Defender,LB,23,Cameroon,Cameroon,CD Lugo,650K,2K,77,50,55,58,62,66
10137,A. McCormack,65,65,Midfielder,CDM,33,Republic of Ireland,Republic of Ireland,Luton Town,220K,5K,40,49,62,59,61,70
10138,A. Esaka,65,68,Attacker,ST,25,Japan,Japan,Omiya Ardija,700K,2K,67,64,57,63,31,58
10139,F. Costa,65,71,Midfielder,LM,22,Italy,Italy,Ferrara (SPAL),750K,4K,73,30,64,63,57,60
10140,J. Zwischenbrugger,65,66,Defender,CB,27,Austria,Austria,SCR Altach,500K,5K,66,45,54,49,65,66
10141,Adnan Vidual,65,65,Defender,CB,25,Brazil,Brazil,Sport Club do Recife,475K,4K,66,52,48,58,64,72
10142,J. Grant,65,65,Midfielder,RM,29,Jamaica,Jamaica,Plymouth Argyle,525K,4K,86,58,59,68,32,60
10143,Zizo,65,74,Midfielder,CM,21,Egypt,Egypt,Moreirense FC,825K,2K,65,48,60,69,53,51
10144,F. Acosta,65,75,Attacker,ST,21,Uruguay,Uruguay,Villarreal CF,875K,7K,70,60,56,66,36,39
10145,D. Avdić,65,65,Attacker,ST,28,Sweden,Sweden,AIK Solna,550K,4K,48,65,53,60,35,74
10146,Nacho Méndez,65,80,Midfielder,CM,19,Spain,Spain,Real Sporting de Gijón,1.1M,2K,65,55,66,68,48,51
10147,M. Tauber,65,65,Defender,CB,32,Denmark,Denmark,Lyngby BK,300K,3K,58,45,54,59,59,82
10148,D. Bergqvist,65,70,Defender,CB,24,Sweden,Sweden,Östersunds FK,625K,2K,55,31,50,54,59,82
10149,H. Da Campo,65,72,Midfielder,LM,22,Argentina,Argentina,Rosario Central,750K,4K,72,60,61,64,49,66
10150,Y. Iwakami,65,65,Midfielder,CAM,27,Japan,Japan,Omiya Ardija,575K,2K,62,59,61,65,42,60
10151,R. O'Donovan,65,65,Attacker,ST,31,Republic of Ireland,Republic of Ireland,Newcastle Jets,475K,2K,80,64,52,64,24,65
10152,C. Ezeh,65,73,Attacker,RW,19,Nigeria,Nigeria,Portimonense SC,775K,2K,76,47,63,74,31,45
10153,Y. Herrera,65,75,Midfielder,CM,19,Venezuela,Venezuela,New York City Football Club,825K,2K,60,53,60,65,66,70
10154,M. Hofrath,65,69,Defender,LB,24,Germany,Germany, SSV Jahn Regensburg,575K,3K,75,39,56,59,60,68
10155,N. Dibble,65,75,Attacker,ST,20,Uruguay,Uruguay,Gimnasia y Esgrima La Plata,875K,4K,68,65,59,62,25,50
10156,R. Gigolaev,65,65,Midfielder,LM,27,Russia,Russia,Terek Grozny,575K,9K,72,60,61,68,59,64
10157,G. Allison,65,66,Goalkeeper,GK,26,Mexico,Mexico,Cruz Azul,425K,6K,64,66,65,64,35,65
10158,E. Scheel,65,65,Midfielder,LM,27,Denmark,Denmark,SønderjyskE,575K,4K,69,59,64,63,39,63
10159,J. Varela,65,65,Midfielder,CAM,29,Colombia,Colombia,Águilas Doradas,525K,1K,91,56,58,70,33,46
10160,Bruno Leite,65,75,Midfielder,CM,22,Portugal,Portugal,FK Haugesund,850K,1K,73,50,62,68,56,64
10161,D. Lewington,65,65,Defender,LB,33,England,England,Milton Keynes Dons,210K,4K,49,34,59,58,65,79
10162,L. Villarruel,65,69,Midfielder,CDM,26,Argentina,Argentina,Bahía Blanca,575K,4K,71,40,59,64,60,64
10163,S. Drewniak,65,69,Midfielder,CDM,23,Poland,Poland,Cracovia,600K,2K,71,51,63,60,62,64
10164,D. Novoa,65,67,Goalkeeper,GK,28,Colombia,Colombia,La Equidad,450K,1K,59,76,72,58,47,62
10165,L. Pérez,65,66,Attacker,ST,27,Italy,Italy,Ascoli,625K,2K,71,65,55,62,28,61
10166,A. Lutego,65,65,Midfielder,CDM,29,Chile,Chile,Club de Deportes Temuco,425K,1K,60,45,63,63,60,61
10167,F. Picault,65,66,Midfielder,LM,26,United States,United States,Philadelphia Union,625K,3K,88,65,56,69,27,39
10168,Davidson,65,65,Attacker,LW,26,Brazil,Brazil,Grupo Desportivo de Chaves,575K,3K,74,55,63,71,38,57
10169,A. Hrustic,65,73,Midfielder,RM,20,Australia,Australia,FC Groningen,800K,3K,71,58,62,68,39,57
10170,A. Corzo,65,65,Defender,RB,28,Peru,Peru,, 0, 0,69,35,52,59,62,57
10171,H. Savran,65,65,Attacker,ST,32,Germany,Germany,VfL Osnabrück,425K,1K,71,64,54,65,29,74
10172,E. Capradossi,65,75,Defender,CB,21,Italy,Italy,Bari,775K,10K,67,21,27,36,68,65
10173,F. Le Joncour,65,73,Defender,CB,22,France,France,SM Caen,675K,5K,56,37,37,38,67,67
10174,Diogo Queirós,65,78,Defender,CB,18,Portugal,Portugal,FC Porto,850K,2K,63,28,37,56,63,65
10175,G. Maggiore,65,81,Midfielder,CM,19,Italy,Italy,La Spezia,1.1M,1K,60,52,60,63,60,64
10176,H. Arslan,65,65,Midfielder,CDM,28,Turkey,Turkey,Medicana Sivasspor,450K,4K,63,62,64,69,61,71
10177,A. Rossi,65,79,Attacker,ST,20,Italy,Italy,Salernitana,1.2M,10K,54,65,53,61,30,59
10178,L. Kelly,65,65,Midfielder,CM,27,Scotland,Scotland,Coventry City,550K,5K,66,60,64,61,61,75
10179,L. Zingerle,65,72,Goalkeeper,GK,23,Germany,Germany,SC Paderborn 07,550K,1K,65,64,61,69,25,59
10180,José Perales,65,71,Goalkeeper,GK,24,Spain,Spain,Gimnàstic de Tarragona,550K,2K,62,64,65,67,27,68
10181,M. Ćosić,65,69,Defender,CB,23,Croatia,Croatia,FK Haugesund,600K,1K,59,37,44,47,64,73
10182,S. Ryall,65,65,Defender,CB,27,Australia,Australia,Sydney FC,450K,3K,67,53,56,60,63,71
